category,question,difficulty,keywords
ML,What is supervised learning?,Beginner,"labelled data, classification, regression"
ML,What is overfitting?,Beginner,"high variance, training data, generalization"
ML,What is underfitting?,Beginner,"high bias, poor performance, model complexity"
ML,Explain bias vs variance.,Intermediate,"tradeoff, overfitting, underfitting"
ML,What is cross-validation?,Intermediate,"k-fold, model evaluation, data split"
ML,What is regularization?,Intermediate,"L1, L2, penalty, reduce overfitting"
ML,Explain gradient descent.,Intermediate,"optimization, learning rate, loss function"
ML,What is confusion matrix?,Beginner,"TP, FP, FN, TN"
ML,Difference between precision and recall?,Intermediate,"false positive, false negative, classification"
ML,What is ROC-AUC?,Advanced,"curve, threshold, model performance"
ML,Explain decision tree algorithm.,Intermediate,"entropy, gini, split"
ML,What is random forest?,Intermediate,"ensemble, bagging, multiple trees"
ML,Explain logistic regression.,Intermediate,"classification, sigmoid, probability"
ML,What is feature engineering?,Intermediate,"data transformation, feature selection"
ML,How do you handle missing data?,Intermediate,"imputation, mean, median, mode"
Python,Difference between list and tuple?,Beginner,"mutable, immutable, syntax"
Python,What is list comprehension?,Beginner,"iteration, concise syntax"
Python,Explain OOP concepts.,Intermediate,"encapsulation, inheritance, polymorphism, abstraction"
Python,What is a lambda function?,Beginner,"anonymous function, inline"
Python,What are decorators?,Advanced,"function wrapper, modification"
Python,Explain deep copy vs shallow copy.,Intermediate,"reference, copy module"
Python,What are generators?,Intermediate,"yield, memory efficient"
Python,What is exception handling?,Beginner,"try, except, error handling"
Python,What is GIL?,Advanced,"global interpreter lock, threading"
Python,Explain pandas DataFrame.,Beginner,"tabular data, rows, columns"
SQL,What is JOIN?,Beginner,"combine tables, foreign key"
SQL,Types of joins?,Beginner,"inner, left, right, full"
SQL,Difference between WHERE and HAVING?,Intermediate,"filter, group by"
SQL,What is GROUP BY?,Beginner,"aggregation, summary"
SQL,What is indexing?,Intermediate,"performance, search optimization"
SQL,What is normalization?,Intermediate,"redundancy, normal form"
SQL,Difference between DELETE and TRUNCATE?,Beginner,"remove data, log"
SQL,What is subquery?,Intermediate,nested query
SQL,What is primary key?,Beginner,"unique, not null"
SQL,What is window function?,Advanced,"rank, partition, over"
HR,Tell me about yourself.,Beginner,"background, skills, career goals"
HR,Why should we hire you?,Beginner,"strengths, value addition"
HR,What are your strengths?,Beginner,"skills, confidence"
HR,What is your weakness?,Intermediate,"self awareness, improvement"
HR,Describe a challenging situation.,Intermediate,"problem solving, learning"
HR,Why do you want this role?,Beginner,"motivation, career growth"
HR,Where do you see yourself in 5 years?,Intermediate,"career plan, development"
HR,How do you handle pressure?,Intermediate,"stress management, focus"
HR,Explain one of your projects.,Intermediate,"objective, tools, results"
HR,Why did you choose AI/ML?,Beginner,"interest, technology, future scope"
Project,Explain your sales forecasting project.,Intermediate,"algorithms, evaluation, results"
Project,Why did you compare three algorithms?,Intermediate,"model comparison, accuracy"
Project,Which metrics did you use?,Intermediate,"MAE, MSE, RMSE"
Project,What challenges did you face?,Intermediate,"data cleaning, model tuning"
Project,Explain your banking dashboard project.,Beginner,"pivot table, visualization, insights"
Project,How did you clean the dataset?,Intermediate,"missing values, outliers"
Project,How did you evaluate model performance?,Intermediate,"validation, metrics"
Project,What improvements would you make?,Advanced,"optimization, scalability"
Project,Explain your NLP sentiment analysis project.,Intermediate,"preprocessing, tfidf, classification"
Project,How would you deploy your model?,Advanced,"API, streamlit, cloud"
